Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
General Dynamics,6/29/78,22:24:00,Atlas-SLV3D Centaur-D1AR,Comstar D3,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
Martin Marietta,8/5/78,,Titan III(34)B Agena-D,Quasar 3,Retired,Success,,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,8/8/78,7:33:00,Atlas-SLV3D Centaur-D1AR,Pioneer Venus Multiprobe,Retired,Success,Day,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,10/7/78,0:28:00,Atlas-E/F SGS-1,GPS-3,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,10/13/78,11:23:00,Atlas-E/F Star-37S-ISS,Tiros-N,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,11/13/78,5:24:00,Atlas-SLV3D Centaur-D1AR,HEAO-2,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,12/11/78,3:59:00,Atlas-E/F SGS-1,GPS-4,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
Martin Marietta,12/14/78,0:40:00,Titan III(23)C,DSCS-II 11&12,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,2/24/79,8:20:00,Atlas-E/F OIS,Solwind,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,3/16/79,18:30:00,Titan IIID,KH-9 & SSF-D-3,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,5/4/79,18:57:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-2,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
US Air Force,5/28/79,18:14:00,Titan III(24)B,OPS 7164,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
Martin Marietta,6/10/79,13:30:00,Titan III(23)C,DSP-8,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,6/27/79,15:51:00,Atlas-E/F Star-37S-ISS,NOAA-A,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,9/20/79,5:28:00,Atlas-SLV3D Centaur-D1AR,HEAO-3,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
Martin Marietta,10/1/79,11:22:00,Titan III(23)C,OPS-1948 (Vortex),Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
