Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
Martin Marietta,8/6/76,,Titan III(34)B Agena-D,Quasar 2,Retired,Success,,SLC-4W,Vandenberg AFB,California,USA
US Air Force,9/15/76,18:50:00,Titan III(24)B,OPS 8533,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
Martin Marietta,12/19/76,18:19:00,Titan IIID,KH-11,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
Martin Marietta,2/6/77,6:00:00,Titan III(23)C,DSP-7,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
US Air Force,3/13/77,18:41:00,Titan III(24)B,OPS 4915,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
Martin Marietta,5/12/77,14:27:00,Titan III(23)C,DSCS-II 7&8,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,5/23/77,18:13:00,Atlas-SLV3A Agena-D,AFP-827 (Canyon-7),Retired,Success,Night,LC-13,Cape Canaveral AFS,Florida,USA
General Dynamics,5/26/77,21:47:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F4,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,6/23/77,9:16:00,Atlas-E/F SGS-1,NTS-2,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Martin Marietta,6/27/77,18:30:00,Titan IIID,KH-9,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,8/12/77,6:29:00,Atlas-SLV3D Centaur-D1AR,HEAO-1,Retired,Success,Day,SLC-36B,Cape Canaveral AFS,Florida,USA
Martin Marietta,8/20/77,14:29:00,Titan IIIE,Voyager 2,Retired,Success,Day,SLC-41,Cape Canaveral AFS,Florida,USA
Martin Marietta,9/5/77,12:56:00,Titan IIIE,Voyager 1,Retired,Success,Day,SLC-41,Cape Canaveral AFS,Florida,USA
US Air Force,9/23/77,18:34:00,Titan III(24)B,OPS 7471,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,9/30/77,1:02:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F5,Retired,Failure,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,12/8/77,17:45:00,Atlas-E/F MSD,NOSS-2,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
General Dynamics,12/11/77,22:45:00,Atlas-SLV3A Agena-D,OPS-4258 (Aquacade-3),Retired,Success,Night,LC-13,Cape Canaveral AFS,Florida,USA
General Dynamics,1/7/78,0:15:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F3,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,2/9/78,21:17:00,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-1,Retired,Success,Night,SLC-36A,Cape Canaveral AFS,Florida,USA
General Dynamics,2/22/78,23:44:00,Atlas-E/F SGS-1,GPS-1,Retired,Success,Night,SLC-3E,Vandenberg AFB,California,USA
Martin Marietta,2/25/78,5:00:00,Titan III(34)B Agena-D,Jumpseat 5,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
Martin Marietta,3/16/78,18:43:00,Titan IIID,KH-9 & SSF-D-2,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
Martin Marietta,3/25/78,18:09:00,Titan III(23)C,DSCS-II 9&10,Retired,Failure,Night,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,3/31/78,23:36:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F6,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
General Dynamics,4/7/78,0:45:00,Atlas-SLV3A Agena-D,OPS-8790 (Aquacade-4),Retired,Success,Night,LC-13,Cape Canaveral AFS,Florida,USA
General Dynamics,5/13/78,10:34:00,Atlas-E/F SGS-1,GPS-2,Retired,Success,Day,SLC-3E,Vandenberg AFB,California,USA
General Dynamics,5/20/78,13:13:00,Atlas-SLV3D Centaur-D1AR,Pioneer Venus Orbiter,Retired,Success,Day,SLC-36A,Cape Canaveral AFS,Florida,USA
Martin Marietta,6/10/78,19:08:00,Titan III(23)C,OPS-9454 (vortex),Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
Martin Marietta,6/14/78,18:28:00,Titan IIID,KH-11,Retired,Success,Night,SLC-4E,Vandenberg AFB,California,USA
General Dynamics,6/27/78,1:12:00,Atlas-E/F Agena D,Seasat,Retired,Success,Night,SLC-3W,Vandenberg AFB,California,USA
